date,clin_vol,clin_sen,clin_re,clin_pospro,clin_neg,clin_pro,san_vol,san_sen,san_re,san_neg,san_pospro,san_pro,trump_vol,trump_sen,trump_re,trump_pospro,trump_pro,trump_neg,cruz_vol,cruz_sen,cruz_re,cruz_pospro,cruz_pro,cruz_neg,primary_date,bi_clinton,bi_sanders,bi_trump,bi_cruz,clinton,sanders,trump,cruz
315,25035,0.033407079,22567,0.556591103,0.026613785,0.131150203,34489,0.03413899,32173,0.017400646,0.662383219,0.180676627,108294,0.031677885,101591,0.559376849,0.567316961,0.024952784,23070,0.031195377,17319,0.611278603,0.120856209,0.019837617,1,1,0,1,0,0.5,0.38,0.32,0.28
316,34909,0.035962811,32718,0.685958763,0.016464263,0.181806345,27046,0.036450702,25355,0.017668773,0.673522826,0.14085578,105377,0.03326774,97122,0.590599553,0.548804241,0.023061019,24680,0.03493997,17011,0.594841086,0.128533633,0.023798357,0,1,0,1,0,0.5,0.38,0.32,0.28
317,19520,0.038613531,18228,0.616702911,0.023999326,0.130974188,21419,0.033316846,20232,0.017344071,0.657643962,0.14371599,82768,0.032535907,77366,0.539980856,0.555352027,0.027717909,25330,0.034958672,18347,0.565032215,0.169957796,0.026911556,0,1,0,1,0,0.55,0.37,0.43,0.29
318,19442,0.033297864,18723,0.559834187,0.026180219,0.134689325,20626,0.033799738,19584,0.016914966,0.666468207,0.142891782,78445,0.030437935,73161,0.532973721,0.543447387,0.026671701,25834,0.032905752,18304,0.589462827,0.178971506,0.022917534,0,1,0,1,0,0.55,0.37,0.43,0.29
319,13676,0.029424656,13185,0.510132021,0.028255817,0.096404227,20796,0.034181138,20081,0.020103728,0.629662378,0.146594201,85574,0.03264448,80505,0.54488655,0.603224283,0.02726612,21815,0.033608065,14832,0.585750521,0.153777289,0.023768009,0,1,0,1,0,0.51,0.44,0.46,0.26
320,11801,0.031045812,11328,0.551498741,0.02524772,0.098707708,20641,0.034779372,19841,0.020069871,0.634090284,0.172648572,70085,0.030663409,65103,0.550296971,0.586215549,0.025058157,17028,0.032464978,12527,0.571411806,0.142428171,0.0243504,0,1,0,1,0,0.51,0.44,0.46,0.26
321,17081,0.03369659,16461,0.575526749,0.024852539,0.129306494,21103,0.033927695,20377,0.01384875,0.710134355,0.159753817,74582,0.032771521,70534,0.536827404,0.564600256,0.028275141,19331,0.034482241,13620,0.613218639,0.146339432,0.021749319,0,1,0,1,0,0.5,0.45,0.47,0.31
322,21052,0.031817435,20370,0.519579711,0.029419435,0.125258824,23121,0.03114282,22248,0.020303358,0.60534759,0.137569317,91991,0.034215903,87275,0.530861325,0.547343932,0.030237658,31904,0.033524829,22093,0.495862104,0.189827927,0.034084348,1,1,0,1,0,0.5,0.45,0.47,0.31
323,23962,0.032577436,23343,0.531523317,0.028713264,0.122654982,29993,0.033534303,28795,0.016983574,0.66381061,0.153526036,86094,0.032591463,81457,0.496811102,0.440691847,0.033009855,55312,0.032113428,39643,0.50441441,0.283127134,0.031551343,0,0,1,1,0,0.48,0.49,0.41,0.29
324,17610,0.028506077,17095,0.528324499,0.025449545,0.108052056,16663,0.033596049,15734,0.016782969,0.666865892,0.102241421,81009,0.031136717,76548,0.509491413,0.497057867,0.029976613,47695,0.032348609,33239,0.509035811,0.292648656,0.031200179,0,0,1,1,0,0.48,0.49,0.41,0.29
325,15357,0.025782293,14736,0.492707379,0.026545507,0.080548635,21823,0.030986737,20782,0.014517282,0.680967035,0.114463298,78914,0.027403154,73454,0.462202281,0.413909942,0.031885074,74561,0.027638303,55931,0.456987866,0.391078125,0.03284099,0,1,0,1,0,0.55,0.42,0.4,0.31
326,16023,0.033250776,15458,0.587721055,0.023325002,0.091483676,46192,0.034327436,44434,0.012228312,0.737340445,0.263734256,69793,0.029768088,64432,0.520503418,0.398484693,0.027422868,43138,0.026913838,32927,0.449880241,0.246297375,0.032910612,1,1,0,1,0,0.55,0.42,0.4,0.31
327,15984,0.027820831,15486,0.557247397,0.022104626,0.113371351,37231,0.032395128,35934,0.013097706,0.712092991,0.26407212,56860,0.030654876,52191,0.540504164,0.403296734,0.026060461,30913,0.026819571,22426,0.453687226,0.219259795,0.0322951,0,1,0,1,0,0.54,0.36,0.41,0.38
328,18391,0.035615927,17911,0.595775638,0.024164844,0.138253248,22525,0.032795014,21679,0.018066231,0.644793775,0.169330346,63565,0.03007956,58631,0.541320039,0.477846103,0.025487494,28543,0.027985772,20549,0.480041365,0.214570303,0.030312896,0,1,0,1,0,0.54,0.36,0.41,0.38
329,31365,0.035106536,30772,0.610430761,0.02240455,0.151342614,30664,0.038448868,28817,0.017767375,0.683945885,0.147960144,101044,0.030691862,94607,0.525624996,0.487558204,0.027699315,44172,0.029227235,31743,0.501878453,0.213139038,0.029008449,0,1,0,1,0,0.49,0.43,0.42,0.32
330,25494,0.034906901,24843,0.563793838,0.027007399,0.121089204,26385,0.03692892,24658,0.020147391,0.647009582,0.125321199,112906,0.031935592,105869,0.547654394,0.53627119,0.026377812,45754,0.032082783,31606,0.544371925,0.217318407,0.026852628,0,1,0,1,0,0.49,0.43,0.42,0.32
331,18611,0.031881277,18109,0.525312397,0.028808852,0.124504118,21426,0.033940894,20423,0.019826376,0.631255673,0.143335942,80505,0.030853316,74192,0.554730481,0.538563429,0.024765254,28939,0.029943368,20438,0.554758432,0.193596511,0.02403214,0,0,1,1,0,0.47,0.49,0.41,0.32
401,22206,0.030250204,21662,0.495945883,0.030744765,0.156600846,26207,0.032251009,25002,0.021587538,0.599031936,0.184816643,67535,0.031857515,61387,0.587142475,0.476269394,0.022401062,25852,0.029291628,18389,0.528248929,0.182313117,0.026158798,1,0,1,1,0,0.47,0.49,0.41,0.32
402,16623,0.031078015,16112,0.520787342,0.028597043,0.137962802,19418,0.03051881,18495,0.020780103,0.594921177,0.16115994,59801,0.03284548,55149,0.582124992,0.496319166,0.023577935,24647,0.030061522,17186,0.557481556,0.204558092,0.023862275,0,1,0,1,0,0.45,0.44,0.4,0.35
403,16947,0.028788261,16521,0.533794919,0.025143052,0.140034705,22776,0.032126653,21835,0.018428909,0.635472181,0.188200297,58037,0.034109423,53371,0.589337048,0.479565361,0.023768192,23260,0.027829418,17149,0.541682597,0.192199636,0.023546458,0,1,0,1,0,0.45,0.44,0.4,0.35
404,23504,0.032911424,22922,0.586375779,0.023215424,0.177509252,23581,0.034070239,22636,0.0188241,0.64411881,0.178090779,60000,0.037504783,56083,0.603517354,0.453137981,0.024638886,25325,0.028865166,17806,0.529051468,0.191261989,0.025695057,0,1,0,1,0,0.46,0.47,0.38,0.31
405,10041,0.03659808,9766,0.62174267,0.02226563,0.143130016,14731,0.032909711,14187,0.020443279,0.616829744,0.209983892,33040,0.03418535,30758,0.605675052,0.470970593,0.022256384,12341,0.030566357,8688,0.548971981,0.175915499,0.025112909,1,1,0,1,0,0.46,0.47,0.38,0.31
406,16297,0.032905977,15878,0.569344464,0.024890277,0.150585822,28560,0.034787769,27465,0.016167454,0.682712522,0.263897102,37564,0.032639361,34660,0.545722557,0.347094914,0.02717008,25803,0.033501611,18643,0.583554689,0.238422161,0.023907937,0,1,0,1,0,0.5,0.44,0.37,0.31
407,15154,0.037672412,14736,0.595827656,0.025554616,0.22768112,13971,0.034096606,13475,0.026105147,0.566372314,0.209907149,23337,0.034089182,21482,0.60256648,0.350626521,0.022484131,14096,0.031877273,10035,0.592318375,0.21178521,0.021940529,0,1,0,1,0,0.5,0.44,0.37,0.31
408,23583,0.036525138,22929,0.569347341,0.027627507,0.192769213,31640,0.03432118,30575,0.022264515,0.606534563,0.258627736,43736,0.034085302,40538,0.627606678,0.357501349,0.020224671,23379,0.035061753,16273,0.624750676,0.191101702,0.02105944,0,1,0,1,0,0.5,0.48,0.42,0.29
409,18220,0.041763171,17737,0.647402567,0.022745642,0.167955679,26264,0.034484047,25158,0.019400196,0.639965321,0.242106913,45893,0.038862905,42711,0.659727049,0.423051041,0.020044646,18104,0.030768347,13351,0.589414495,0.166886367,0.021433198,1,1,0,1,0,0.5,0.48,0.42,0.29
410,16597,0.032310273,16110,0.571166685,0.02425863,0.161320736,22890,0.033165826,21690,0.021067006,0.611545157,0.222487899,44528,0.031181335,41044,0.586513262,0.432806516,0.021982569,18867,0.029482649,14430,0.571665486,0.183384849,0.022090604,0,1,0,1,0,0.48,0.46,0.4,0.35
411,17475,0.033781354,16993,0.534083873,0.029469674,0.149262018,24289,0.030750976,22814,0.019826356,0.607999172,0.207463528,52526,0.030402731,48539,0.537386879,0.448648741,0.026172396,22786,0.032447923,16428,0.552847589,0.194625713,0.026244425,0,1,0,1,0,0.48,0.46,0.4,0.35
412,20163,0.033974079,19805,0.563974841,0.026266337,0.173232067,21709,0.031634843,20451,0.021737747,0.592717027,0.186514653,52198,0.030221485,48691,0.567371726,0.448463396,0.023044273,22323,0.029349069,16138,0.53122088,0.191789884,0.025899266,0,1,0,1,0,0.54,0.42,0.45,0.27
413,17699,0.037347103,17306,0.605361213,0.024346812,0.151675379,28079,0.03572161,27016,0.016862098,0.67932847,0.240629017,47209,0.032593225,44165,0.612133934,0.404567658,0.020652026,23703,0.032621039,18354,0.616995788,0.203127946,0.020249725,0,1,0,1,0,0.54,0.42,0.45,0.27
414,17158,0.033165516,16695,0.582550254,0.023766081,0.150196521,32136,0.034004552,30835,0.018750156,0.64457853,0.281309908,41055,0.031492652,38425,0.588998411,0.359384438,0.021975492,23888,0.033814746,18498,0.618415323,0.209109133,0.020864924,0,1,0,1,0,0.5,0.45,0.44,0.25
415,39708,0.034021374,38625,0.581226702,0.024512368,0.268660352,42463,0.035886774,40743,0.020491244,0.636538415,0.287300406,42994,0.032150771,40272,0.607100074,0.290893099,0.020807172,22635,0.032733733,16491,0.605143071,0.153146143,0.021358819,0,1,0,1,0,0.5,0.45,0.44,0.25
